2024-03-15 02:14:08 | INFO | 192.168.1.45 | /login | success
2024-03-15 02:14:33 | WARN | 203.0.113.42 | /login | failed
2024-03-15 02:14:35 | WARN | 203.0.113.42 | /login | failed
2024-03-15 02:14:38 | WARN | 203.0.113.42 | /login | failed
2024-03-15 02:15:02 | INFO | 203.0.113.42 | /login | success
2024-03-15 02:15:14 | INFO | 203.0.113.42 | /admin/users | accessed
2024-03-15 02:15:47 | INFO | 203.0.113.42 | /admin/keys | accessed
2024-03-15 02:16:02 | ALERT | 203.0.113.42 | /etc/passwd | read
2024-03-15 02:18:20 | ALERT | 203.0.113.42 | /etc/shadow | read
2024-03-15 02:19:05 | WARN | 203.0.113.42 | /admin/config | modified
2024-03-15 02:21:40 | ALERT | 203.0.113.42 | /var/backups | downloaded

2024-03-15 02:30:00 | INFO | 192.168.1.10 | /login | success
2024-03-15 02:45:12 | INFO | 192.168.1.10 | /dashboard | accessed
2024-03-15 03:05:00 | INFO | 192.168.1.20 | /login | success
2024-03-15 03:42:11 | CRIT | 203.0.113.42 | /admin | escalated
2024-03-15 03:55:30 | DEBUG | 192.168.1.20 | /health | ok
2024-03-15 04:01:33 | INFO | 10.0.0.5 | /reports | accessed
2024-03-15 04:10:00 | WARN | 198.51.100.7 | /login | failed
2024-03-15 04:10:04 | WARN | 198.51.100.7 | /login | failed
2024-03-15 04:10:07 | WARN | 198.51.100.7 | /login | failed
2024-03-15 04:10:11 | WARN | 198.51.100.7 | /login | failed
2024-03-15 04:10:15 | ERROR | 198.51.100.7 | /api/token | denied
2024-03-15 04:30:00 | INFO | 10.0.0.5 | /logout | success
2024-03-15 05:00:00 | WARN | 203.0.113.42 | /login
2024-03-15 05:05:00 / INFO / 192.168.1.45 / /home / accessed
not-a-timestamp | INFO | 192.168.1.45 | /home | accessed
2024-03-15 05:20:00 | INFO | 172.16.0.3 | /login | success
2024-03-15 06:00:00 | INFO | 192.168.1.45 | /dashboard | accessed
2024-03-15 06:15:00 | INFO | 192.168.1.20 | /reports | accessed
2024-03-15 06:30:00 | INFO | 192.168.1.20 | /reports/export | accessed
2024-03-15 06:45:00 | INFO | 10.0.0.8 | /login | success
2024-03-15 07:00:00 | INFO | 10.0.0.8 | /profile | accessed
2024-03-15 07:05:42 | ERROR | 10.0.0.5 | /reports/export | timeout
2024-03-15 07:15:00 | INFO | 172.16.0.3 | /dashboard | accessed
2024-03-15 07:30:00 | INFO | 192.168.1.10 | /login | success
2024-03-15 07:45:00 | TRACE | 10.0.0.5 | /debug | trace
2024-03-15 08:00:01 | INFO | 192.168.1.10 | /login | success
2024-03-15 08:01:15 | INFO | 192.168.1.20 | /dashboard | accessed
2024-03-15 08:03:42 | INFO | 192.168.1.45 | /login | success
2024-03-15 08:05:11 | WARN | 192.168.1.45 | /login | failed
2024-03-15 08:05:19 | INFO | 192.168.1.45 | /login | success
2024-03-15 08:10:00 | INFO | 10.0.0.8 | /reports | accessed
2024-03-15 08:12:30 | INFO | 172.16.0.3 | /profile | accessed
2024-03-15 08:20:00 | info | 192.168.1.20 | /dashboard | accessed
